match_id,round_id,spike_planted,spike_defused
MATCH_000001,MATCH_000001-R01,0,0
MATCH_000001,MATCH_000001-R02,1,1
MATCH_000001,MATCH_000001-R03,1,1
MATCH_000001,MATCH_000001-R04,1,1
MATCH_000001,MATCH_000001-R05,1,0
MATCH_000001,MATCH_000001-R06,1,1
MATCH_000001,MATCH_000001-R07,1,0
MATCH_000001,MATCH_000001-R08,1,1
MATCH_000001,MATCH_000001-R09,1,1
MATCH_000001,MATCH_000001-R10,1,1
MATCH_000001,MATCH_000001-R11,1,0
MATCH_000001,MATCH_000001-R12,1,1
MATCH_000001,MATCH_000001-R13,1,1
MATCH_000001,MATCH_000001-R14,1,0
MATCH_000001,MATCH_000001-R15,1,0
MATCH_000001,MATCH_000001-R16,1,0
MATCH_000001,MATCH_000001-R17,1,0
MATCH_000001,MATCH_000001-R18,1,1
MATCH_000001,MATCH_000001-R19,1,1
MATCH_000001,MATCH_000001-R20,1,0
MATCH_000001,MATCH_000001-R21,1,1
MATCH_000001,MATCH_000001-R22,1,1
MATCH_000002,MATCH_000002-R01,1,1
MATCH_000002,MATCH_000002-R02,1,1
MATCH_000002,MATCH_000002-R03,1,1
MATCH_000002,MATCH_000002-R04,1,1
MATCH_000002,MATCH_000002-R05,1,1
MATCH_000002,MATCH_000002-R06,1,0
MATCH_000002,MATCH_000002-R07,1,1
MATCH_000002,MATCH_000002-R08,1,0
MATCH_000002,MATCH_000002-R09,1,1
MATCH_000002,MATCH_000002-R10,1,1
MATCH_000002,MATCH_000002-R11,1,0
MATCH_000002,MATCH_000002-R12,1,0
MATCH_000002,MATCH_000002-R13,1,0
MATCH_000002,MATCH_000002-R14,1,1
MATCH_000002,MATCH_000002-R15,1,0
MATCH_000002,MATCH_000002-R16,1,0
MATCH_000002,MATCH_000002-R17,1,0
MATCH_000002,MATCH_000002-R18,1,0
MATCH_000002,MATCH_000002-R19,1,0
MATCH_000002,MATCH_000002-R20,1,0
MATCH_000002,MATCH_000002-R21,1,1
MATCH_000002,MATCH_000002-R22,1,1
MATCH_000002,MATCH_000002-R23,1,0
MATCH_000002,MATCH_000002-R24,1,0
MATCH_000003,MATCH_000003-R01,1,1
MATCH_000003,MATCH_000003-R02,1,0
MATCH_000003,MATCH_000003-R03,1,0
MATCH_000003,MATCH_000003-R04,1,1
MATCH_000003,MATCH_000003-R05,1,1
MATCH_000003,MATCH_000003-R06,1,0
MATCH_000003,MATCH_000003-R07,1,1
MATCH_000003,MATCH_000003-R08,1,1
MATCH_000003,MATCH_000003-R09,1,1
MATCH_000003,MATCH_000003-R10,1,1
MATCH_000003,MATCH_000003-R11,1,1
MATCH_000003,MATCH_000003-R12,1,0
MATCH_000003,MATCH_000003-R13,1,0
MATCH_000003,MATCH_000003-R14,1,1
MATCH_000003,MATCH_000003-R15,1,0
MATCH_000003,MATCH_000003-R16,1,0
MATCH_000003,MATCH_000003-R17,1,1
MATCH_000003,MATCH_000003-R18,1,0
MATCH_000003,MATCH_000003-R19,1,1
MATCH_000003,MATCH_000003-R20,1,1
MATCH_000003,MATCH_000003-R21,1,1
MATCH_000004,MATCH_000004-R01,1,0
MATCH_000004,MATCH_000004-R02,1,1
MATCH_000004,MATCH_000004-R03,1,1
MATCH_000004,MATCH_000004-R04,1,0
MATCH_000004,MATCH_000004-R05,1,1
MATCH_000004,MATCH_000004-R06,1,1
